File,Location,Import_Pattern,Count,Type,Priority
"apps/api/__tests__/legacy/metadata.test.ts","apps/api","","       1","API Procedure/Route","High"
"apps/api/__tests__/legacy/user.test.ts","apps/api","","       1","API Procedure/Route","High"
"apps/api/modules/admin/procedures/find-organization.ts","apps/api","","       1","API Procedure/Route","High"
"apps/api/modules/admin/procedures/list-organizations.ts","apps/api","","       1","API Procedure/Route","High"
"apps/api/modules/admin/procedures/list-users.ts","apps/api","","       1","API Procedure/Route","High"
"apps/api/modules/analytics/procedures/get-agent-suggestions.ts","apps/api","","       2","API Procedure/Route","High"
"apps/api/modules/analytics/procedures/get-analytics-metrics.ts","apps/api","","       2","API Procedure/Route","High"
"apps/api/modules/analytics/procedures/get-api-key-usage.ts","apps/api","","       2","API Procedure/Route","High"
"apps/api/modules/analytics/procedures/get-daily-metrics.ts","apps/api","","       2","API Procedure/Route","High"
"apps/api/modules/analytics/procedures/get-feedback.ts","apps/api","","       2","API Procedure/Route","High"
"apps/api/modules/analytics/procedures/get-loops.ts","apps/api","","       2","API Procedure/Route","High"
"apps/api/modules/analytics/procedures/get-policy-evaluations.ts","apps/api","","       2","API Procedure/Route","High"
"apps/api/modules/analytics/procedures/get-post-accept-outcomes.ts","apps/api","","       2","API Procedure/Route","High"
"apps/api/modules/analytics/procedures/get-snapshots.ts","apps/api","","       2","API Procedure/Route","High"
"apps/api/modules/analytics/procedures/ingest-events.ts","apps/api","","       2","API Procedure/Route","High"
"apps/api/modules/analytics/procedures/process-daily-metrics.ts","apps/api","","       2","API Procedure/Route","High"
"apps/api/modules/apikeys/procedures/create-api-key.ts","apps/api","","       3","API Procedure/Route","High"
"apps/api/modules/apikeys/procedures/list-api-keys.ts","apps/api","","       2","API Procedure/Route","High"
"apps/api/modules/apikeys/procedures/revoke-api-key.ts","apps/api","","       3","API Procedure/Route","High"
"apps/api/modules/auth/procedures/track-api-usage.ts","apps/api","","       2","API Procedure/Route","High"
"apps/api/modules/auth/procedures/verify-api-key.ts","apps/api","","       2","API Procedure/Route","High"
"apps/api/modules/contact/procedures/submit-contact-form.ts","apps/api","","       2","API Procedure/Route","High"
"apps/api/modules/cooldowns/procedures/clear-expired-cooldowns.ts","apps/api","","       1","API Procedure/Route","High"
"apps/api/modules/cooldowns/procedures/get-cooldown-status.ts","apps/api","","       1","API Procedure/Route","High"
"apps/api/modules/cooldowns/procedures/list-cooldowns.ts","apps/api","","       1","API Procedure/Route","High"
"apps/api/modules/dashboard/procedures/__tests__/get-metrics.test.ts","apps/api","","       1","API Procedure/Route","High"
"apps/api/modules/dashboard/procedures/get-ai-detection-stats.ts","apps/api","","       2","API Procedure/Route","High"
"apps/api/modules/dashboard/procedures/get-metrics.ts","apps/api","","       2","API Procedure/Route","High"
"apps/api/modules/dashboard/procedures/get-org-metrics.ts","apps/api","","       2","API Procedure/Route","High"
"apps/api/modules/dashboard/procedures/get-recent-activity.ts","apps/api","","       2","API Procedure/Route","High"
"apps/api/modules/dashboard/procedures/get-session-metrics.ts","apps/api","","       2","API Procedure/Route","High"
"apps/api/modules/dashboard/procedures/get-subscription-data.ts","apps/api","","       2","API Procedure/Route","High"
"apps/api/modules/dashboard/procedures/get-user-metrics.ts","apps/api","","       2","API Procedure/Route","High"
"apps/api/modules/device-trials/procedures/create-device-trial.ts","apps/api","","       2","API Procedure/Route","High"
"apps/api/modules/device-trials/procedures/link-device.ts","apps/api","","       2","API Procedure/Route","High"
"apps/api/modules/extension/procedures/create-extension-session.ts","apps/api","","       2","API Procedure/Route","High"
"apps/api/modules/extension/procedures/validate-api-key.ts","apps/api","","       3","API Procedure/Route","High"
"apps/api/modules/feature-flags/procedures/get-user-flags.ts","apps/api","","       1","API Procedure/Route","High"
"apps/api/modules/feedback/procedures/submit-feedback.ts","apps/api","","       2","API Procedure/Route","High"
"apps/api/modules/feedback/procedures/submit-nps.ts","apps/api","","       2","API Procedure/Route","High"
"apps/api/modules/newsletter/procedures/subscribe-to-newsletter.ts","apps/api","","       2","API Procedure/Route","High"
